requirements,opportunity_id,content_id,summary,category_description,title,display_url,recurrence_type,street_address,2nd_address,city,state,postcode,country,website,borough,latitude,longitude,location,community_board,council_district,census_tract,bin,bbl,nta
"<p><strong>Experience: </strong>You&rsquo;re recruited before and have knowledge of interviewing people to determine fit for skill and culture <strong>OR </strong>you&#39;ve got experience in any formal Talent Acquisitions activity.</p> <p>&nbsp;</p> <p><strong>Enthusiasm: </strong>You&rsquo;re excited about learning and want to take on a challenge with an exciting Red Cross program and you enjoy pushing your boundaries.</p> <p>&nbsp;</p> <p><strong>Knowledge:</strong> You understand how recruitment is pivotal to an internship program and ultimately how it drives its success.</p> <p>&nbsp;</p> <p><strong>The basics:</strong>&nbsp;You&#39;re&nbsp;organized, focused and can multi-task. Plus, you have excellent telephone etiquette and are proficient with Microsoft Word, PowerPoint, and Excel.</p> <p>&nbsp;</p>",American Red Cross: NYC Internship Program Support Volunteer,"<p>This is a great opportunity to make a real difference in your community by helping to mobilize the power of top student talent!</p> <p> </p> <p>We have ambitious goals for our internship program and we need a few volunteers to help us accomplish it.</p> <p> </p> <p>The American Red Cross Internship Program seeks to build a pipeline of future employees, volunteers, and donors by providing a project-based learning experience that actively engages service-minded students in the mission of The American Red Cross.</p> <p> </p> <p><strong>Time Commitment:</strong> This opportunity is flexible and can be done remotely. Daytime availability may be required when interacting with internal stakeholders. <strong>About 10-15 hours per week during the recruitment cycle</strong>.</p> <p> </p> <p><strong>Key Responsibilities</strong>: </p> <p>Participate in the internship recruitment lifecycle:</p> <ul> <li>Work with internal stakeholders to help craft internship proposals</li> <li>Post internship openings on college/university websites using Handshake</li> <li>Evaluate candidates, resumes, and submissions</li> <li>Conduct first-level screenings for intern managers</li> <li>Arrange interviews with candidates and intern managers</li> <li>Send 'hire' letters to interns who've accepted position</li> <li>Send internship applications to qualified candidates</li> </ul> <p><strong>What's In It For You</strong></p> <ul> <li>Make a positive impact in your community </li> <li>Gain experience in a Human Resources related activity</li> <li>Be a valued member of an American Red Cross Service that on-boards, places and engages new interns</li> <li>Enhance interpersonal, organizational and leadership skills </li> <li>Contribute to the organization's volunteer/intern management strategies</li> <li>Enhance administrative, team-building and project management skills</li> <li>Explore leadership opportunities within Volunteer Services</li> </ul> <p> </p>","The American Red Cross Internship Program seeks to build a pipeline of future employees, volunteers, and donors by providing a project based learning experience that actively engages service minded students in the mission of The American Red Cross.",,American Red Cross in Greater New York (NYC),/opportunities/11668,ongoing,432 Monroe Street,,Brooklyn,NY,11221,US,http://WWW.NYCLIONS.NYC,BROOKLYN,40.6866,-73.9407,POINT(-73.940747 40.686592),303,36,277,3051540,3018210001,Stuyvesant Heights
,"ARE YOU A GREAT ORGANIZER, CREATIVE WITH ADMINISTRATIVE SKILLS?","<p>Our tutoring program for adult learners provides free sessions in the areas of: basic literacy, ESL, GED and pre-GED. We have several projects needing your help and attention: internet research, updating excel files, inventory, filing, brainstorming etc. Flexible schedule! Volunteer for short-term (3 hour sessions) or as an on-going program participant. Join our corps of volunteer tutors in need of support! Let's talk about what you'd like to do, we'd really appreciate your help!</p>","The Imani House Adult Literacy Program needs YOUR help with administrative support. We have several projects needing your help and attention: internet research, updating excel files, inventory, filing, brainstorming etc.",,"Imani House, Inc.",/opportunities/11696,ongoing,432 Monroe Street,,Brooklyn,NY,11221,US,http://WWW.NYCLIONS.NYC,BROOKLYN,40.6866,-73.9407,POINT(-73.940747 40.686592),303,36,277,3051540,3018210001,Stuyvesant Heights
,,,,,,,,,,,,,,,,,,,,,,,,
<p>See Above</p>,This Human Resources (HR) Internship with FreeTheTextbooks.org Lets You Make a Difference!,"<p><strong>This Human Resources (HR) Internship with FreeTheTextbooks.org Lets You Make a Difference!</strong></p> <p>· Use your Human Resources skills, experience, knowledge, creativity and talent.</p> <p>· Help us build a national team of interns, volunteers, campus reps, and social media activists.</p> <p>· Help lower the cost of college textbooks and save billions of dollars for millions of college students.</p> <p>· Take a leadership role on our dynamic and creative international team.</p> <p>· Work from our Manhattan office or remotely.</p> <p>· Enhance your resume and get a glowing letter of recommendation.</p> <p><br /> <strong>The Problem We Address</strong><br /> The skyrocketing cost of college textbooks undermines the education and lives of millions of students, who spend an average of $1,300 a year on books and supplies. 70% of them cannot afford books for all their classes. 30% of them are unable to take classes they want, simply because the books are too expensive. Tacked onto student loans, the textbook costs can haunt them for years.</p> <p> </p> <p><strong>We Are Going to Change the Situation </strong></p> <p>Colleges and universities could greatly decrease the cost of textbooks by adopting ten measures, described in the petition below. We are leading a movement to encourage students, faculty, recent graduates, high school students, and parents to advocate for these changes.</p> <p> </p> <p><strong>The Petition</strong></p> <p>Colleges and universities could save students billions of dollars a year on textbooks by adopting these policies. We call on them to:</p> <p> </p> <p>· Consider the cost when selecting textbooks.</p> <p>· Use free Open Source textbooks whenever possible.</p> <p>· Do not require university-specific editions or (unless essential) the latest edition, which undermine the used book market.</p> <p>· Refrain from requiring students to purchase expensive access codes for homework assignments and quizzes.</p> <p>· Tell students what textbooks are required and what they cost before registration begins so they have time to shop for savings.</p> <p>· Have college bookstores transparently serve students, rather than profit off of them.</p> <p>· Inform students of scholarships to fund textbooks. </p> <p>· Have college libraries put enough textbooks on reserve for in-house use.</p> <p>· Support book exchanges for students to trade used books.</p> <p>· Establish a standing student-faculty committee dedicated to this issue. </p> <p> <br /> <br /> <strong>A Nonprofit Movement</strong></p> <p>Free The Textbooks is a nonprofit movement. We are glad to help you receive college credit for this internship.</p> <p><br /> <br /> <strong>Use Your Skills in Human Resources</strong></p> <p>HR is, of course, a key role in growing the movement as we build a national team of interns, volunteers, campus reps, and social media activists in our NY office and across the country. Help strategize on where to find participants. Help recruit, screen, select, and onboard them. Help grow and maintain our energetic culture of action and effectiveness.</p> <p> </p> <p><strong>A Great Place to Work</strong><br /> This is a great place to work. We have had interns and volunteers from all over the United States and more than forty countries. The atmosphere is energetic, creative, and fun. We value brainstorming, initiative, sharing, and collaborating. Think of it is a laboratory, studio, seminar, or incubator. We are also casual. We are interested in your brains, creativity and heart, rather than your attire. Want to work in jeans, t-shirt and flip-flops? That’s fine with us. </p> <p><br /> <strong>Who, Where, When</strong></p> <p>· We are glad to hear from high school, undergraduate, and graduate students, as well as professionals who want to make a meaningful impact with their skills. We also welcome OPT students.</p> <p>· Work at our office or remotely. We are conveniently located at 7th Avenue and 33 Street, across from Penn Station in Manhattan. (Catch a game or concert after work).</p> <p>· Full-time or part-time, school-year or summer, day or evening, weekday or weekend, in-office or remote. We are glad to have your help whenever and wherever you are available.</p> <p>· We provide a great opportunity to gain experience as you make a meaningful change in the world, but this is an unpaid position.</p> <p><br /> <strong>Learn More, Apply Now, and Share</strong><br /> Are you ready for a great experience and eager to make a difference? <br /> <br /> Send a resume and short cover letter to: join [AT] FreeTheTextbooks [DOT] org.<br /> </p> <p>Please let us know:</p> <p>· whether you would like to work from our office or remotely</p> <p>· when you are available (dates, days, and hours).</p> <p> <br /> Please be sure to see <a href=""http://www.FreeTheTextbooks.org"">www.FreeTheTextbooks.org</a>, sign the petition, share it with friends, and help grow the movement. </p>",The skyrocketing cost of college textbooks undermines the education and lives of millions of students. FreeTheTextbooks.org is a national nonprofit movement to change the situation.,,Free the Textbooks,/opportunities/11816,ongoing,2601 Ocean Parkway,,Brooklyn,NY,11235,US,http://www.nychealthandhospitals.org/coneyisland/html/help/volunteer.shtml,BROOKLYN,40.5866,-73.9662,POINT(-73.966168 40.586552),313,48,370,3337274,3072390001,Brighton Beach
"<p>Bi lingual hepful, but not necessary.&nbsp;</p>",Child Care Volunteers Needed!,"<p> Times: flexible, sessions are between Monday and Friday 9:30 - 4 pm.</p> <p> </p> <p>Great for someone who enjoys interacting with children, patient, and wants to help support a program that helps low income women who struggle with depression.</p>",We have a need for child care volunteers to assist with children while mothers are in therapy sessions.,Communities and Neighbors,Little Sisters of the Assumption Family Health Service,/opportunities/11846,ongoing,2601 Ocean Parkway,,Brooklyn,NY,11235,US,http://www.nychealthandhospitals.org/coneyisland/html/help/volunteer.shtml,BROOKLYN,40.5866,-73.9662,POINT(-73.966168 40.586552),313,48,370,3337274,3072390001,Brighton Beach
,Volunteer,"<p>Get involved with your community.</p> <p> </p> <p>NYC Votes conducts nonpartisan voter engagement activities such as voter registration, community engagement, Get Out the Vote and advocacy efforts to increase voter participation throughout the city.</p>","Get involved with your community. NYC Votes conducts nonpartisan voter engagement activities such as voter registration, community engagement, Get Out the Vote and advocacy efforts to increase voter participation throughout the city.",,NYC Votes,/opportunities/11850,ongoing,520 West 49th Street,,New York,NY,10019,US,http://www.nychealthandhospitals.org/coneyisland/html/help/volunteer.shtml,MANHATTAN,40.7646,-73.9935,POINT(-73.993509 40.764578),104,3,129,1080966,1010770043,Clinton
"<p>If you&#39;re a functioning adult, you can do our level of math. For example, if you can calculate the tip on your dinner bill without a calculator, you&#39;re set. Can you convert a fraction to a decimal and think of a real life application of it? That&#39;s the kind of stuff that we do. If you&#39;re game, join us!</p> <p>Prior experience is not required! Top Honors provides basic training, curriculum, and materials. We&#39;re looking for role models to middle-schoolers. We find that kind, patient, and enthusiastic volunteers match well with our student population. Come join our volunteer family!<br /> <br /> Volunteers may be professionals, advanced high school, college, or graduate students (community service credit is available). Applicants should be available on Saturdays for two hours., like math, and enjoy working with students in the middle school age group (10-14 years). No prior experience is necessary.</p> <p><strong>A note on volunteer commitment:</strong></p> <p>Tutors attend an average monthly of 2 out of every 3 Saturdays from October and May, which includes holidays and school breaks.&nbsp;</p>",Volunteer MATH tutors needed in Brooklyn!,"<p>Top Honors is a non-profit educational organization that provides free math tutoring to NYC 5th, 6th, 7th, and 8th-graders. Tutoring takes place on Saturdays in Downtown Brooklyn.</p> <p>Top Honors currently seeks Saturday tutors for morning and afternoon sessions, 10am-12pm and 1pm-3pm.</p> <p>To join Top Honors please submit an application <a href=""http://www.tophonors.org/volunteer"">here</a>. Frequently asked questions about the TH volunteer experience can be found on <a href=""http://www.tophonors.org/volunteer"">our website</a>.</p>","Help 5th, 6th, 7th, and 8th graders conquer their fear of basic math with individualized tutoring. Prior experience is not necessary. TH encourages individuals who are compassionate, engaging, and patient to apply.",,"Top Honors, Inc.",/opportunities/11879,ongoing,144 St. Felix Street (program site),76A Fifth Avenue (Imani House office),Brooklyn,NY,11217,US,http://www.nychealthandhospitals.org/coneyisland/html/help/volunteer.shtml,BROOKLYN,40.6857,-73.9771,POINT(-73.977133 40.685664),302,35,35,3059187,3021110045,Fort Greene
,,,,,,,,,,,,,,,,,,,,,,,,
"<p>1. Minimum of 2+ years of experience as an Executive Assistant reporting directly to senior management in a non profit environment</p> <p>2. Ability to navigate social media</p> <p>3. Advanced Microsoft Office skills, with an ability to become familiar with firm-specific programs and software</p> <p>4. Proficiency in collaboration and delegation of duties</p> <p>5. Strong organizational, project management and problem-solving skills with impeccable multi-tasking abilities</p> <p>6. Exceptional interpersonal skills</p> <p>7. Friendly and professional demeanor</p>",Executive Assistant,"<p> I really need some help keeping track of stuff. These are the things I need the most help in.</p> <p>Coordinate executive communications, including taking calls, responding to emails and interfacing with clients</p> <p>Research possible grants and funding opportunities to apply for</p> <p>Schedule meetings and appointments</p> <p>Arrange and attend tabling events</p> <p>Maintain an organized filing system of paper and electronic documents</p> <p>Uphold a strict level of confidentiality</p> <p>Develop and sustain a level of professionalism among staff and clientele.</p> <p>NYCPride</p>","The GLBT Project, Inc. is searching for an experienced, reliable and task-oriented Executive Assistant. The Executive Assistant will work directly with the Executive Director and will be responsible for performing a number of administrative duties.",,"The GLBT Project, Inc.",/opportunities/11883,ongoing,"401 7th Avenue, Office level B,",,New York,NY,10001,US,http://www.southbronxunited.org/,MANHATTAN,40.7498,-73.9915,POINT(-73.991486 40.749794),105,3,101,1015191,1008087501,Midtown-Midtown South
"<p>Attention to detail. flexibility, works with minimal supervision and team player.&nbsp;</p>",Are you willing to make a difference as a Program Coordinator Aide?,"<p>Our tutoring program for adult learners provides free sessions in the areas of: basic literacy, ESL, GED and pre-GED. It is a fast growing program and we have several basic day to day tasks needing your help and attention. Tasks will range from helping tutors make copies of lesson plans, door monitor, to filing, etc. We need volunteers for the following schedule:<br /> 11am-1pm ( on Tues, or Wed.) or 5pm -7:30pm ( on Tues., Wed., or Thur.) - Volunteer for one session or as many as you can. Join our corps of volunteer tutors in need of support! Let's talk about what you'd like to do, we'd really appreciate your help!</p>","Ready to roll up your sleeves and make a difference in today? Our adult education program provides free sessions in the areas of: basic literacy, ESL, and GED. Tasks will range from helping tutors, door monitor, etc. Let's talk about what you'd like to do, we'd really appreciate your help!",,"Imani House, Inc.",/opportunities/11966,ongoing,333 East 115th St.,,New York,NY,10029,US,http://www.freethetextbooks.org,MANHATTAN,40.7957,-73.9369,POINT(-73.936919 40.795741),111,8,188,1052905,1016870017,East Harlem North
"<p>To help out with one of our classes, we ask that new volunteers attend a casual, one hour training session to learn about Bike New York and our method of teaching.</p>",Want to teach someone how to ride a bike?,"<p><a href=""http://www.bike.nyc/volunteer/volunteer-opportunities/bike-education/"">Bike New York</a> offers free bike riding classes in all five boroughs from April to November, and they are all taught with help from our wonderful volunteers.</p> <p> </p> <p>Training only takes an hour, and the volunteer commitment is totally up to you. Learn how to teach someone to ride and you'll change someone's life!</p> <p> </p> <p>""It was just so gratifying that people who'd never biked before were able to ride after two hours. It was magical, both for me and for them."" - Devan Zarenberg, Bike New York volunteer</p>","Bike New York offers free bike education classes in all five boroughs from April to November, and they are all taught with help from our wonderful volunteers.",,Bike New York,/opportunities/12030,ongoing,100 Church Street,12th Floor,New York,NY,10007,US,http://www.littlesistersfamily.org,MANHATTAN,40.713,-74.0095,POINT(-74.00949 40.712968),101,1,21,1001409,1001250020,SoHo-TriBeCa-Civic Center-Little Italy
"<p>We ask for a 6 month commitment minimum. Time commitment is flexible. Visits must occur at least twice a month on an ongoing basis and the seniors are located in the Upper East Side or East Harlem neighborhoods.</p> <p>If you are interested in this volunteer opportunity, please email us at: volunteer@carterburdennetwork.org</p>",Become a friendly visitor!,"<p>The Carter Burden Network promotes the well-being of seniors 60 and older through a continuum of services, advocacy, arts and culture, health and wellness and volunteer programs, all oriented to individual, family and community needs. We are dedicated to supporting the efforts of older people to live safely and with dignity.</p> <p>The Friendly Visiting program matches volunteers with seniors who share common interests and hobbies for social interaction. Volunteers must participate in visits at least twice a month (for 1-2 hours) in a senior's home and may chat, play a game, read a book, take a walk (if the senior is able), or another activity.</p> <p>The Friendly Visiting program is an on-going opportunity. We are looking for compassionate, patient, and committed volunteers comfortable engaging with a senior living in Manhattan.<br /> <br /> <strong> </strong>If you are interested in this opportunity please email us at: volunteer@carterburdennetwork.org</p>","The Carter Burden Network is dedicated to supporting the efforts of older people to remain in their homes living independently, safely, and with dignity. Volunteers are an integral component of the Carter Burden Network's 40+ years of success.",,Carter Burden Network,/opportunities/12070,ongoing,300 Jay Street,,Brooklyn,NY,11201,US,http://www.nyccfb.info/nyc-votes,BROOKLYN,40.6955,-73.9871,POINT(-73.98714 40.695547),302,33,13,3335892,3001280001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"<ul> <li>Commit to being a Friendly Visitor for a minimum of six months</li> <li>Comfortable establishing a relationship with an older adult</li> <li>Honest, mature, motivated, patient</li> <li>Ability to maintain confidentiality</li> <li>Willing and able to contact the program coordinator should problems arise</li> <li>Participate in an in-person interview</li> <li>Undergo and pass a background check and provide references</li> </ul>",Friendly Visitor: Connect with Homebound Older New Yorkers,"<p>The Department for the Aging is working in partnership with Citymeals on Wheels, and DFTA-funded case management and home delivered meal programs to connect volunteers with homebound older New Yorkers to have in home visits on a regular basis. For volunteers, friendly visiting offers the opportunity to cultivate a lasting friendship, to learn from a senior’s life experiences, and to benefit from the personal satisfaction derived from community service. Friendly visiting leads to the creation of meaningful relationships between older adults and volunteers, promoting intergenerational understanding. For the senior, friendly visiting provides a sense of connection to the outside world, something to look forward to, and a sense of contributing to society through sharing their wisdom, knowledge, talents and stories with you.</p> <p><strong>Tasks:</strong></p> <ul> <li>Visit an older adult you are matched with once a week, in the senior’s home</li> <li>Provide monthly reports/updates to the Friendly Visiting program coordinator</li> </ul> <p><strong>Skills Preferred:</strong></p> <ul> <li>Ability to speak languages other than English desired, but not required</li> </ul> <p><strong>Training: </strong></p> <ul> <li>Orientation/training provided by the Friendly Visiting program coordinator</li> </ul> <p><strong>Time Commitment: </strong></p> <ul> <li>One hour per week, for a period of six months</li> <li>Flexible hours and days to allow for a mutually convenient time for the volunteer and senior to meet</li> </ul>","By connecting volunteers with homebound older New Yorkers to have in home visits on a regular basis, Friendly Visiting leads to the creation of meaningful relationships between older adults and volunteers, promoting intergenerational understanding.",,New York City Department for the Aging (DFTA),/opportunities/12122,ongoing,192 E 151st Street,Suite 2,The Bronx,NY,10451,US,http://www.tophonors.org,BRONX,40.8205,-73.927,POINT(-73.927032 40.820484),204,8,63,2001065,2023480005,West Concourse
"<ul> <li>Wear comfortable clothing and closed toe shoes</li> <li>You must be able to lift at least 20 pounds</li> <li>You must be comfortable standing throughout shift</li> <li>Please do not bring valuables with you. We cannot be responsible for your personal items, especially cell phones. Plan ahead to keep valuables on your person throughout your shift.&nbsp;</li> <li>Volunteers eat too! You are invited to enjoy a delicious meal between 6-7 pm after our guests have all been through the line once.&nbsp;</li> </ul>",Soup Kitchen Night Sparkle & Shine Specialist,"<p><strong>Sparkle &amp; Shine Specialists help with cleaning, sweeping, mopping, dishes, taking out the garbage, etc. They may also assist with set up for the next morning's pantry as needed.</strong></p>",Sparkle &amp; Shine Specialists make our day in a very special way by swooping in at the end of the night and helping get everything clean and tidy after dinner.,,Greenpoint Soup Kitchen and Food Pantry,/opportunities/12162,ongoing,178-43 Selover Road,,Jamaica,NY,11434,US,http://southbronxunited.org,QUEENS,40.6826,-73.7648,POINT(-73.764827 40.682571),412,27,366,4269958,4124860097,St. Albans
"<ul> <li>Please be comfortable standing throughout shift</li> <li>Be comfortable bending &amp; lifting</li> <li>You should be able to walk up and down a flight of stairs carrying boxes of food</li> <li>Please be able to lift at least 25 pounds comfortably</li> <li>Be comfortable counting, sorting, and labeling</li> <li>Please wear comfortable clothing and closed toe shoes</li> <li>Plan ahead to keep valuables on your person throughout your shift or lock them in our volunteer lockers provided in the basement</li> <li>Bring extra warm clothes in the winter because with the front door open it can be chilly</li> </ul>",Greenpoint Food Pantry Team,"<p><strong>Activities include helping guests select and pack farm-fresh produce and dry good items, organizing, re-stocking and helping to keep everything neat and tidy. </strong></p> <p>Street parking can be found in the neighborhood, but is usually very full. Metered parking is available on Manhattan Avenue at the end of the block. The G-train Greenpoint Avenue stop is a convenient two blocks away and the B24 Bus stops nearby along Manhattan Avenue.</p>",Help to distribute free groceries to our guests in an atmosphere of welcome and compassion.,,Greenpoint Soup Kitchen and Food Pantry,/opportunities/12164,ongoing,"39 Eldridge Street,",4th Floor,New York,NY,10002,US,http://www.theglbtproject.org,MANHATTAN,40.7157,-73.9932,POINT(-73.993222 40.715724),103,1,16,1003900,1003010030,Chinatown
<p>This opportunity needs&nbsp;someone who has energy to lift up light and heavy stuff to bring into the storage room and arrange them in a manner of first in and&nbsp;first&nbsp;out.</p>,Receiving Deliveries on Mondays.{Trinity Human Services Corp},"<p>Trinity Human Services Corporation is the only Food Pantry that is open four days a week in the area. Not only does this pantry offers limited to the emergency food, but also other social services. People come to this pantry for assistance in SNAP Applications, Housing Application, Clothing, and filling Tax returns just mention a few. We are open to the public Tuesday through Friday from 9:00am to 12pm and 1 pm to 4pm. We will really appreciate if someone could help so that our doors could remain open to our needy brothers and sisters. As you all know non- profit organizations depend on donations to support themselves in running their projects </p>",Would you like to spend some of your spare time to help at the food pantry? Trinity zhumans Services Corporation is seeking for volunteers who can help to receiving deliveries on Mondays. We are open from 9:00am-12:00pm and 1:00pm-4:00pm.,Health and Well-Being,Trinity Human services Corporation,/opportunities/12179,ongoing,144 St. Felix Street- Program Site,76A Fifth Ave- Imani House Office,Brooklyn,NY,11217,US,http://www.theglbtproject.org,,,,,,,,,,
"<p><strong>Requirements include but are not limited to: </strong></p> <p><strong>Age:</strong>&nbsp;18 or Older</p> <p><strong>Education:</strong>&nbsp;High School Diploma or currently pursuing same.</p> <p><strong>Experience:</strong>&nbsp;EMR or EMT helpful but no prior experience necessary.</p> <p><strong>History</strong>: Clear Criminal and Good Driving Record, Drug Free, Per NYS Law Sex Offender registry check required and other background checks may be conducted</p> <p><strong>Residence:</strong> Live within 10-15 minutes of Glen Oaks, Queens&nbsp;</p> <p><strong>Time Commitment: </strong>The amount of time our members commit to volunteering with us varies from person to person. All active members must currently volunteer at least 12 hours per month. Many members volunteer as much as 24-36 hours each month. EMS is a complex and complicated job, one that requires education, practice and time.</p> <p><strong>Knowledge, skills, and abilities:</strong></p> <p>Ability to meet and deal courteously and tactfully with the public.</p> <p>Ability to establish and maintain effective working relationships with other members, emergency agencies and personnel, and the public.</p> <p>Ability to deal effectively with emergency situations</p> <p>Ability to read and write English and understand medical terms, prescription information, etc.</p> <p>Abilty to wear N95 mask.</p> <p>Able to physically perform the basic life operational functions of reaching, standing, walking, lifting, grasping, talking, hearing, and performing repetitive motions.</p> <p>Must be able to perform moderate to heavy work lifting, moving&nbsp; up to 150&nbsp; pounds occasionally, and list/move/carry equipment, etc.</p> <p><strong>Training Requirements to clear probation include but are not limited to: </strong></p> <p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ambulance Orientation</p> <p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Introduction to Incident Command System, ICS-100.</p> <p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; National Incident Management System, An Introduction, ICS-700.</p> <ul> <li>ICS for Single Resources and initial Action Incidents, IS-200.</li> <li>National Response Framework, IS-800</li> <li>HIPPA Training</li> <li>Bloodborne Pathogens Training</li> </ul>","Emergency Medical Technician, Emergency Medical Responder, Emergency Medical Provider","<p>Emergency Medical Responder, Emergency Medical Technician:</p> <p>There is a great deal of excitement and a sense of accomplishment that comes with reviving a patient using CPR, caring for a patient after a serious collision, or delivering a baby. The satisfaction, camaraderie, and experience received from EMS service are often beyond description.</p> <p>Emergency medical providers (EMTs, EMRs) need courage, dedication, assertiveness, and above all a desire to help others in need. EMTs, EMRs perform work that tests their abilities in uncertain and sometimes challenging situations.</p> <p>Individuals age 18 and older who are in good physical and mental condition and have the desire to serve their community as EMTs/EMRs are eligible for membership. EMTs/EMRs have opportunities for training and advancement. If you have a desire to serve the community or to serve and obtaining training to move on to a further career in the medical field (EMT, Paramedic, Nurse, PS, Physician), we have a place for you.</p>","Glen Oaks VAC is seeking local residents with a desire to serve their community as emergency medical providers (EMR's, EMT's, etc.). EMT's, EMR's provide basic life support/medical first aid/treatment and transport of patients to hospitals. Manage emergency scenes and perform related tasks.",,Glen Oaks Volunteer Ambulance Corps,/opportunities/12214,ongoing,475 Riverside Dr,Suite 1300,New York,NY,10115,US,http://imanihouse.org/,MANHATTAN,40.8111,-73.9642,POINT(-73.964168 40.811101),109,7,205,1059835,1019910001,Morningside Heights
"<p>Interested candidates must be able to meet the following minimum requirements in order to participate in SAVI&rsquo;s Volunteer Advocate Program:</p> <p>&nbsp;</p> <ol> <li>Be at least 21 years of age</li> <li>Current residency in Manhattan,&nbsp;Queens or Brooklyn, to be close to the hospitals we serve. (Some areas of each borough are out of our catchment area &ndash; this is based on zip code)</li> <li>Ability to participate in-person in a 2.5 hour interview held on our Upper East Side campus.</li> <li>Successfully complete the required Mount Sinai Hospital Volunteer Department medical, drug and background screenings</li> <li>Ability to attend all sessions of the 40-hour NYS Department of Health Training (see below for more information) provided by SAVI</li> <li>Willing to commit to a minimum of two shifts per month, for at least one year. (Shift times are as follows: 8pm-2am; 2am- 8am; 8am &ndash; 2pm; 2pm-8pm.)</li> </ol> <p>Please go here:</p> <p><a href=""https://tinyurl.com/savirecruit"">https://tinyurl.com/savirecruit</a></p> <p>Questions? Call 212-423-2140 or email savi@mssm.edu.</p>","Help Survivors of Sexual and Intimate Partner Violence - Manhattan, Queens & Brooklyn Residents Needed!","<p>Dear Manhattan, Queens &amp; Brooklyn residents,</p> <p>The Mount Sinai Sexual Assault and Violence Intervention (SAVI) Program invites you to join us in eradicating sexual and intimate partner violence from our communities. New York City needs you!</p> <p>By joining our roster of volunteer Emergency Department (ED) Advocates it is possible to have an impact. An ED Advocate is trained to provide support and advocacy for survivors in emergency departments, so they don’t have to face the difficult decisions, emotions and follow-up procedures alone. SAVI ED Advocates helped more than 500 survivors in New York City Emergency Departments last year—<strong>that’s almost 2 survivors a day!</strong></p> <p>We hope you or someone you know may be interested in becoming a Volunteer Emergency Department Advocate. Those interested should review our application requirements and link here: <a href=""https://tinyurl.com/SAVIrecruit"">https://tinyurl.com/SAVIrecruit</a>.</p> <p>Interviews will be held from July – October and those accepted into the program will begin training in October.</p> <p>More information is also available at our website: please visit <a href=""http://www.mountsinai.org/patient-care/service-areas/community-medicine/areas-of-care/sexual-assault-and-violence-intervention-program-savi/volunteer"">http://www.mountsinai.org/patient-care/service-areas/community-medicine/areas-of-care/sexual-assault-and-violence-intervention-program-savi/volunteer</a></p> <p>Thank you so much for your help and we hope to hear from you! </p>",The Mount Sinai Sexual Assault and Violence Intervention (SAVI) Program’s is recruiting volunteer ED patient advocates for our Fall Advocate Training. Visit https://tinyurl.com/SAVIrecruit for information. YOU can be an early positive support for those on the path towards healing.,,The Mount Sinai Sexual Assault and Violence Intervention (SAVI) Program,/opportunities/12215,ongoing,312 East 109th Street,,New York,NY,10029,US,http://www.bike.nyc/volunteer/volunteer-opportunities/bike-education/,MANHATTAN,40.7923,-73.9405,POINT(-73.94048 40.792306),111,8,170,1074278,1016800045,East Harlem South
"<p><strong>REQUIREMENTS:</strong></p> <p>Volunteers must be 18 or older. An interview, training, references, and background check are required.</p> <p><strong>COMMITMENT:</strong><br /> Weekly hour-long visits for a minimum of 6 months.</p> <p><strong>DAY &amp; TIME:</strong><br /> Flexible</p> <p><strong>LOCATION (may vary):</strong><br /> 45-25 Kissena Boulevard<br /> Flushing, NY 11355</p>",Friendly Visiting Volunteers,"<p>Selfhelp is a not-for-profit organization dedicated to maintaining the independence and dignity of seniors and at-risk populations through a spectrum of housing, home health care, and social services.</p> <p>The Selfhelp Queens North Friendly Visiting is a program that matches homebound seniors with volunteers in the community who make weekly visits in the seniors’ homes. Friendly visiting helps relieve the senior’s social isolation and is an enriching opportunity for the volunteer to develop a meaningful friendship. Seniors and the volunteer can take part in fun activities like playing card games, discussing current events, sharing stories, learning/teaching new skills, and celebrating special days in the lives of the seniors. Your time and companionship as a friendly visitor is invaluable!</p> <p>We ask for a minimum commitment of six months for weekly hour-long visits. Matches are based on volunteer availability and geographic location. Our office is located in Flushing and we service the areas of <strong>College Point, Bayside, Whitestone, and Flushing.</strong></p> <p><strong>* </strong>We currently in need of <strong>KOREAN, GREEK,</strong> <strong>RUSSIAN, </strong><strong>SPANISH, </strong>and <strong>AMERICAN SIGN LANGUAGE (ASL) </strong>speakers!</p>","Selfhelp Queens North Friendly Visiting is a program that matches homebound seniors with volunteers in their community who make weekly in-person, phone, and/or video visits. Friendly visiting is an enriching opportunity for the volunteer to develop a meaningful friendship.",Health and Well-Being,Selfhelp Queens North Friendly Visitor Program,/opportunities/12259,ongoing,2 Lafayette Street,,New York,NY,10007,US,http://www.carterburdennetwork.org/,MANHATTAN,40.7137,-74.0036,POINT(-74.003586 40.713723),101,1,31,1001672,1001550001,SoHo-TriBeCa-Civic Center-Little Italy
,,,,,,,,,,,,,,,,,,,,,,,,
